,score,Game,Year,Publisher,North America,Europe,Japan,Rest of World,global_unit_sales
66,6.0,Destiny,2014.0,Activision,2.17,0.92,0.0,0.32,3.41
67,5.0,Nhl 15,2014.0,EA Sports,0.32,0.06,0.0,0.04,0.42
68,6.0,The Sims 4,2017.0,Electronic Arts,0.42,0.24,0.0,0.07,0.73
69,8.0,Fifa 15,2014.0,EA Sports,0.64,1.39,0.0,0.16,2.19
70,8.0,Wasteland 2,2015.0,Deep Silver,0.05,0.01,0.0,0.01,0.06
71,8.0,Middle-Earth: Shadow Of Mordor,2014.0,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42
72,8.0,Forza Horizon 2,2014.0,Microsoft Studios,0.56,0.79,0.01,0.11,1.46
73,6.0,Alien: Isolation,2014.0,Sega,0.23,0.25,0.0,0.04,0.52
74,9.0,Nba 2K15,2014.0,2K Sports,1.39,0.18,0.0,0.18,1.74
75,8.0,Sherlock Holmes: Crimes & Punishments,2014.0,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
76,7.0,Costume Quest 2,,,0.0,0.0,0.0,0.0,0.0
77,7.0,The Evil Within,2014.0,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69
78,8.0,Sunset Overdrive,2014.0,Microsoft Studios,0.64,0.42,0.0,0.1,1.16
79,8.0,Lords Of The Fallen,2014.0,Square Enix,0.1,0.1,0.0,0.02,0.22
80,8.0,Call Of Duty: Advanced Warfare,2014.0,Activision,3.25,1.49,0.01,0.48,5.22
81,4.0,Wwe 2K15,2014.0,2K Sports,0.32,0.23,0.0,0.05,0.61
82,5.0,Nba Live 15,2014.0,Electronic Arts,0.18,0.02,0.0,0.02,0.22
83,8.0,Pro Evolution Soccer 2015,2014.0,Konami Digital Entertainment,0.04,0.1,0.0,0.01,0.15
84,6.0,Halo: The Master Chief Collection,2014.0,Microsoft Studios,2.06,1.04,0.03,0.31,3.44
85,7.0,Far Cry 4,2014.0,Ubisoft,0.85,0.68,0.02,0.14,1.68
86,7.0,Lego Batman 3: Beyond Gotham,2014.0,Warner Bros. Interactive Entertainment,0.24,0.17,0.0,0.04,0.44
87,8.0,Geometry Wars 3: Dimensions,,,0.0,0.0,0.0,0.0,0.0
88,8.0,The Wolf Among Us,2014.0,Telltale Games,0.06,0.02,0.0,0.01,0.09
89,7.0,Lara Croft And The Temple Of Osiris,2014.0,Square Enix,0.0,0.0,0.0,0.0,0.0
90,5.0,The Crew,2014.0,Ubisoft,0.32,0.34,0.0,0.06,0.71
91,8.0,Limbo,,,0.0,0.0,0.0,0.0,0.0
92,7.0,Tetris Ultimate,2014.0,Ubisoft,0.0,0.0,0.0,0.0,0.0
93,8.0,Blackguards 2,2017.0,Kalypso Media,0.02,0.0,0.0,0.0,0.02
94,7.0,Dying Light,2015.0,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47
95,7.0,Elite: Dangerous,2017.0,Frontier Developments,0.07,0.0,0.0,0.01,0.08
96,8.0,#Idarb,,,0.0,0.0,0.0,0.0,0.0
97,8.0,Evolve,2015.0,2K Games,0.4,0.2,0.0,0.06,0.67
98,8.0,The Escapists,,,0.0,0.0,0.0,0.0,0.0
99,7.0,Screamride,2015.0,Microsoft Studios,0.0,0.01,0.0,0.0,0.01
100,9.0,Ori And The Blind Forest,,,0.0,0.0,0.0,0.0,0.0
101,6.0,Dragon Ball: Xenoverse,2015.0,Namco Bandai Games,0.21,0.11,0.0,0.03,0.35
102,7.0,Battlefield: Hardline,2015.0,Electronic Arts,0.73,0.39,0.01,0.11,1.24
103,5.0,Bladestorm: Nightmare,2015.0,Tecmo Koei,0.06,0.02,0.0,0.01,0.08
104,8.0,Borderlands: The Handsome Collection,2015.0,2K Games,0.49,0.13,0.0,0.07,0.68
105,8.0,Pillars Of Eternity,2017.0,Paradox Interactive,0.04,0.0,0.0,0.01,0.05
