,score,Game
376,8.0,fifa 15
378,8.0,wasteland 2
379,9.0,minecraft: playstation 4 edition
385,8.0,middle-earth: shadow of mordor
387,8.0,watch dogs: bad blood
390,8.0,forza horizon 2
393,6.0,alien: isolation
396,9.0,nba 2k15
397,8.0,sherlock holmes: crimes & punishments
398,7.0,costume quest 2
399,9.0,dark souls ii: crown of the ivory king
403,8.0,sleeping dogs: definitive edition
404,8.0,disney fantasia: music evolved
406,3.0,the legend of korra
407,7.0,the evil within
408,8.0,sunset overdrive
412,8.0,lords of the fallen
415,9.0,minecraft xbox one edition
422,8.0,skylanders trap team
424,8.0,call of duty: advanced warfare
431,4.0,wwe 2k15
433,5.0,nba live 15
434,8.0,pro evolution soccer 2015
435,7.0,assassin's creed unity
440,9.0,dragon age: inquisition
444,6.0,halo: the master chief collection
447,9.0,grand theft auto 5 ps4/xbox one/pc
449,7.0,far cry 4
454,7.0,lego batman 3: beyond gotham
459,9.0,tales from the borderlands: episode one - zer0 sum
460,8.0,geometry wars 3: dimensions
461,8.0,game of thrones: episode one - iron from ice
462,8.0,the wolf among us
463,7.0,how to survive: storm warning edition
464,7.0,lara croft and the temple of osiris
465,5.0,the crew
469,8.0,limbo
470,6.0,destiny: the dark below
477,5.0,tropico 5: waterborne
479,7.0,tetris ultimate
480,8.0,sunset overdrive and the mystery of the mooil rig!
484,7.0,kalimba
485,5.0,assassin's creed unity: dead kings
490,7.0,saints row iv: gat out of hell
491,8.0,blackguards 2
492,7.0,"life is strange, episode one"
495,7.0,dying light
497,8.0,game of thrones: episode two - the lost lords
498,7.0,elite: dangerous
499,8.0,#idarb
500,8.0,evolve
502,8.0,the escapists
503,7.0,resident evil: revelations 2 - episode one
505,7.0,hand of fate
506,7.0,screamride
508,6.0,resident evil: revelations 2 - episode two
510,3.0,lords of the fallen - ancient labyrinth
514,9.0,dmc: devil may cry definitive edition
515,9.0,ori and the blind forest
517,6.0,dragon ball: xenoverse
518,8.0,resident evil: revelations 2 - episode three
520,6.0,white night
521,8.0,final fantasy type-0 hd
523,7.0,battlefield: hardline
525,8.0,tales from the borderlands: episode two — atlas mugged
526,7.0,resident evil: revelations 2 - episode four
528,3.0,la cops
529,5.0,bladestorm: nightmare
530,8.0,game of thrones: episode three – the sword in the darkness
531,8.0,borderlands: the handsome collection
533,7.0,"life is strange, episode two"
535,7.0,dragon age: inquisition - jaws of hakkon
539,8.0,pillars of eternity
