,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
68,lego marvel super heroes,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0.0,0.1,1.15
69,final fantasy xv,2016,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14
70,mafia iii,2016,Action-Adventure,2K Games,0.54,0.48,0.0,0.09,1.11
71,diablo iii,2014,Role-Playing,Blizzard Entertainment,0.62,0.32,0.0,0.09,1.04
72,just cause 3,2015,Action-Adventure,Square Enix,0.52,0.41,0.0,0.09,1.01
73,far cry: primal,2016,Action-Adventure,Ubisoft,0.51,0.41,0.0,0.09,1.0
74,dragon age iii: inquisition,2014,Role-Playing,Electronic Arts,0.63,0.27,0.0,0.09,0.99
75,sea of thieves,2018,Action-Adventure,Microsoft Studios,0.6,0.27,0.0,0.09,0.96
76,nba 2k14,2013,Sports,2K Sports,0.72,0.12,0.0,0.09,0.94
77,monster hunter: world,2018,Action,Capcom,0.67,0.17,0.0,0.09,0.93
78,injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89
79,resident evil vii: biohazard,2017,Action,Capcom,0.51,0.3,0.0,0.08,0.89
80,for honor,2017,Action,Ubisoft,0.57,0.21,0.0,0.08,0.87
81,dishonored 2,2016,Action,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86
82,plants vs. zombies: garden warfare 2,2016,Shooter,Electronic Arts,0.47,0.32,0.0,0.08,0.86
83,madden nfl 25,2013,Sports,EA Sports,0.69,0.06,0.0,0.09,0.83
84,metal gear solid v: the phantom pain,2015,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
85,guitar hero live,2015,Music,Activision,0.52,0.23,0.0,0.08,0.83
86,dark souls iii,2016,Role-Playing,Namco Bandai Games,0.56,0.15,0.0,0.08,0.79
87,lego jurassic world,2015,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78
88,rare replay,2015,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78
89,mass effect: andromeda,2017,Role-Playing,Electronic Arts,0.5,0.2,0.0,0.07,0.78
90,minecraft: story mode,2015,Adventure,Mojang,0.46,0.24,0.0,0.07,0.77
91,fortnite,2017,Action,Gearbox Software,0.6,0.09,0.0,0.08,0.77
92,quantum break,2016,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76
93,wolfenstein: the new order,2014,Shooter,Bethesda Softworks,0.39,0.3,0.0,0.06,0.75
94,rock band 4,2015,Music,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75
95,need for speed (2015),2015,Racing,Electronic Arts,0.35,0.33,0.0,0.06,0.74
96,the sims 4,2017,Simulation,Electronic Arts,0.42,0.24,0.0,0.07,0.73
97,need for speed: payback,2017,Racing,Electronic Arts,0.42,0.24,0.0,0.07,0.73
98,dead rising 4,2016,Action-Adventure,Microsoft Studios,0.41,0.25,0.0,0.06,0.73
99,lego dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.07,0.72
100,the crew,2014,Racing,Ubisoft,0.32,0.34,0.0,0.06,0.71
101,plants vs zombies: garden warfare,2014,Shooter,Electronic Arts,0.39,0.25,0.0,0.06,0.71
102,need for speed rivals,2013,Racing,Electronic Arts,0.45,0.19,0.0,0.07,0.7
103,wolfenstein ii: the new colossus,2017,Shooter,Bethesda Softworks,0.45,0.19,0.0,0.07,0.7
104,the evil within,2014,Misc,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69
105,lego worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0.0,0.05,0.69
106,borderlands: the handsome collection,2015,Shooter,2K Games,0.49,0.13,0.0,0.07,0.68
107,evolve,2015,Shooter,2K Games,0.4,0.2,0.0,0.06,0.67
108,wwe 2k18,2017,Sports,2K Sports,0.35,0.25,0.0,0.06,0.66
109,tomb raider (2013),2014,Action-Adventure,Square Enix,0.38,0.22,0.0,0.06,0.66
110,the lego movie videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0.0,0.06,0.65
111,wwe 2k16,2015,Sports,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63
112,kinect sports rivals,2014,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62
113,south park: the fractured but whole,2017,Role-Playing,Ubisoft,0.4,0.17,0.0,0.06,0.62
114,wwe 2k15,2014,Sports,2K Sports,0.32,0.23,0.0,0.05,0.61
115,ea sports ufc 2,2016,Sports,EA Sports,0.36,0.19,0.0,0.06,0.61
116,nhl 17,2016,Sports,EA Sports,0.52,0.01,0.0,0.06,0.6
117,tekken 7,2017,Fighting,Namco Bandai Games,0.3,0.23,0.0,0.05,0.58
118,lego marvel super heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57
119,wwe 2k17,2016,Sports,2K Games,0.26,0.26,0.0,0.05,0.57
120,disney infinity 2.0: marvel super heroes,2014,Action-Adventure,Disney Interactive Studios,0.35,0.15,0.0,0.05,0.55
121,just dance 2015,2014,Music,Ubisoft,0.36,0.13,0.0,0.05,0.54
122,dragon ball fighter z,2018,Fighting,Namco Bandai Games,0.38,0.09,0.0,0.05,0.52
123,alien: isolation,2014,Adventure,Sega,0.23,0.25,0.0,0.04,0.52
124,halo wars 2,2017,Strategy,Microsoft Studios,0.31,0.15,0.0,0.05,0.51
125,nhl 16,2015,Sports,EA Sports,0.41,0.05,0.0,0.05,0.51
126,lego star wars: the force awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0.0,0.04,0.5
127,mad max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0.0,0.05,0.5
128,lego marvel's avengers,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48
129,zoo tycoon (2013),2013,Simulation,Microsoft Studios,0.25,0.18,0.0,0.04,0.48
130,steep,2016,Sports,Ubisoft,0.24,0.2,0.0,0.04,0.48
131,thief 4,2014,Action,Square Enix,0.26,0.17,0.0,0.04,0.48
132,just dance 2014,2013,Music,Ubisoft,0.31,0.12,0.0,0.04,0.48
133,ea sports ufc,2014,Fighting,Electronic Arts,0.3,0.13,0.0,0.04,0.48
134,bioshock the collection,2016,Shooter,2K Games,0.35,0.08,0.0,0.05,0.48
135,dragon ball: xenoverse 2,2016,Action,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47
136,ark: survival evolved,2017,Action-Adventure,Studio Wildcard,0.3,0.12,0.0,0.04,0.46
137,disney infinity 3.0,2015,Action,Disney Interactive Studios,0.3,0.12,0.0,0.04,0.46
138,prey (2017),2017,Shooter,Bethesda Softworks,0.21,0.2,0.0,0.04,0.45
139,skylanders: trap team,2014,Platform,Activision,0.34,0.07,0.0,0.04,0.45
140,lego batman 3: beyond gotham,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0.0,0.04,0.44
141,ea sports ufc 3,2018,Sports,EA Sports,0.3,0.1,0.0,0.04,0.44
142,rocksmith 2014,2014,Music,Ubisoft,0.31,0.08,0.0,0.04,0.43
143,sniper elite 3,2014,Shooter,505 Games,0.27,0.12,0.0,0.04,0.43
144,hello neighbor,2017,Action,Gearbox Software,0.27,0.11,0.0,0.04,0.42
145,nhl 15,2014,Sports,EA Sports,0.32,0.06,0.0,0.04,0.42
146,project cars,2015,Racing,Bandai Namco Games,0.21,0.16,0.0,0.04,0.41
147,destiny: the collection,2016,Shooter,Activision,0.25,0.12,0.0,0.04,0.41
148,skylanders: superchargers,2015,Action-Adventure,Activision,0.31,0.05,0.0,0.04,0.4
149,deus ex: mankind divided,2016,Role-Playing,Square Enix,0.25,0.11,0.0,0.04,0.39
150,nhl 18,2017,Sports,EA Sports,0.32,0.03,0.0,0.04,0.39
151,the evil within ii,2017,Action,Bethesda Softworks,0.25,0.1,0.0,0.04,0.39
152,rayman legends,2014,Platform,Ubisoft,0.13,0.22,0.0,0.03,0.38
153,just dance 2016,2015,Music,Ubisoft,0.3,0.04,0.0,0.04,0.38
154,skylanders swap force,2013,Misc,Activision,0.25,0.07,0.0,0.03,0.35
155,naruto shippuden: ultimate ninja storm 4,2016,Fighting,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35
156,dragon ball: xenoverse,2015,Fighting,Namco Bandai Games,0.21,0.11,0.0,0.03,0.35
157,marvel vs. capcom: infinite,2017,Fighting,Capcom,0.26,0.05,0.0,0.03,0.34
158,just dance 2017,2016,Music,Ubisoft,0.25,0.05,0.0,0.03,0.34
159,the lego ninjago movie videogame,2017,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0.0,0.03,0.33
160,the crew 2,2018,Racing,Ubisoft,0.2,0.1,0.0,0.03,0.33
161,farming simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.11,0.0,0.03,0.33
162,metro 2033,2014,Shooter,Deep Silver,0.15,0.14,0.0,0.03,0.31
163,hitman (2016),2017,Action,Square Enix,0.2,0.08,0.0,0.03,0.31
164,lego city undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3
165,final fantasy type-0,2015,Role-Playing,Square Enix,0.2,0.07,0.0,0.03,0.3
166,sniper elite 4,2017,Shooter,Rebellion Developments,0.18,0.09,0.0,0.03,0.3
167,sonic forces,2017,Platform,Sega,0.15,0.11,0.0,0.03,0.29
168,dark souls ii,2015,Role-Playing,Namco Bandai Games,0.19,0.07,0.0,0.03,0.28
169,battleborn,2016,Shooter,2K Games,0.2,0.05,0.0,0.03,0.28
170,rory mcilroy pga tour,2015,Sports,Electronic Arts,0.16,0.09,0.0,0.02,0.28
171,assassin's creed the ezio collection,2016,Action,Ubisoft,0.13,0.12,0.0,0.02,0.27
172,lego the hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0.0,0.02,0.27
173,metal gear solid: ground zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0.0,0.02,0.27
174,minecraft: story mode - season two,2017,Adventure,Telltale Games,0.17,0.08,0.0,0.02,0.27
175,skylanders imaginators,2016,Platform,Activision,0.19,0.05,0.0,0.03,0.27
176,friday the 13th: the game,2017,Action,Gun Media,0.21,0.03,0.0,0.03,0.27
177,recore,2016,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26
178,f1 2015,2015,Racing,Codemasters,0.09,0.15,0.0,0.02,0.25
179,l.a. noire,2017,Adventure,Rockstar Games,0.14,0.09,0.0,0.02,0.25
180,trials fusion,2014,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.25
181,call of duty: modern warfare remastered,2017,Shooter,Activision,0.16,0.06,0.0,0.02,0.24
182,zumba fitness: world party,2013,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24
183,saints row iv,2015,Action,Deep Silver,0.13,0.09,0.0,0.02,0.24
184,farming simulator 2015,2015,Simulation,Koch Media,0.13,0.09,0.0,0.02,0.24
185,a way out,2018,Action,Electronic Arts,0.17,0.05,0.0,0.02,0.24
186,nba live 14,2013,Sports,EA Sports,0.19,0.02,0.0,0.02,0.24
187,payday 2,2015,Shooter,505 Games,0.14,0.07,0.0,0.02,0.23
188,dirt 4,2017,Racing,Codemasters,0.11,0.1,0.0,0.02,0.23
189,nba live 15,2014,Sports,Electronic Arts,0.18,0.02,0.0,0.02,0.22
190,f1 2016 (codemasters),2016,Racing,Codemasters,0.09,0.12,0.0,0.02,0.22
191,deadpool,2015,Action,Activision,0.17,0.03,0.0,0.02,0.22
192,the amazing spider-man 2 (2014),2014,Action-Adventure,Activision,0.12,0.08,0.0,0.02,0.22
193,kingdom come: deliverance,2018,Role-Playing,Deep Silver,0.14,0.06,0.0,0.02,0.22
194,lords of the fallen,2014,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22
195,super lucky's tale,2017,Platform,Microsoft Studios,0.13,0.07,0.0,0.02,0.22
196,dirt rally,2016,Racing,Codemasters,0.12,0.08,0.0,0.02,0.21
197,just dance 2018,2017,Music,Ubisoft,0.15,0.04,0.0,0.02,0.21
198,homefront: the revolution,2016,Shooter,Deep Silver,0.1,0.09,0.0,0.02,0.21
199,state of decay,2015,Action-Adventure,Microsoft Studios,0.14,0.05,0.0,0.02,0.21
200,nba live 18,2017,Sports,EA Sports,0.18,0.0,0.0,0.02,0.21
201,thehunter: call of the wild,2017,Shooter,Astragon,0.18,0.0,0.0,0.02,0.21
202,sleeping dogs,2014,Action-Adventure,Square Enix,0.1,0.09,0.0,0.02,0.2
203,project cars 2,2017,Racing,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2
204,batman: return to arkham,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2
205,dishonored,2015,Action,Bethesda Softworks,0.13,0.05,0.0,0.02,0.19
206,one piece: burning blood,2016,Fighting,Namco Bandai Games,0.11,0.07,0.0,0.02,0.19
207,fantasia: music evolved,2014,Music,Disney Interactive Studios,0.14,0.03,0.0,0.02,0.19
