,score,Game,Year,Publisher,North America,Europe,Japan,Rest of World,Global
70,8.0,wasteland 2,2015.0,Deep Silver,0.05,0.01,0.0,0.01,0.06
71,8.0,middle-earth: shadow of mordor,2014.0,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42
72,8.0,forza horizon 2,2014.0,Microsoft Studios,0.56,0.79,0.01,0.11,1.46
73,6.0,alien: isolation,2014.0,Sega,0.23,0.25,0.0,0.04,0.52
74,9.0,nba 2k15,2014.0,2K Sports,1.39,0.18,0.0,0.18,1.74
75,8.0,sherlock holmes: crimes & punishments,2014.0,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
76,7.0,costume quest 2,,,0.0,0.0,0.0,0.0,0.0
77,7.0,the evil within,2014.0,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69
78,8.0,sunset overdrive,2014.0,Microsoft Studios,0.64,0.42,0.0,0.1,1.16
79,8.0,lords of the fallen,2014.0,Square Enix,0.1,0.1,0.0,0.02,0.22
80,8.0,call of duty: advanced warfare,2014.0,Activision,3.25,1.49,0.01,0.48,5.22
81,4.0,wwe 2k15,2014.0,2K Sports,0.32,0.23,0.0,0.05,0.61
82,5.0,nba live 15,2014.0,Electronic Arts,0.18,0.02,0.0,0.02,0.22
83,8.0,pro evolution soccer 2015,2014.0,Konami Digital Entertainment,0.04,0.1,0.0,0.01,0.15
84,6.0,halo: the master chief collection,2014.0,Microsoft Studios,2.06,1.04,0.03,0.31,3.44
85,7.0,far cry 4,2014.0,Ubisoft,0.85,0.68,0.02,0.14,1.68
86,7.0,lego batman 3: beyond gotham,2014.0,Warner Bros. Interactive Entertainment,0.24,0.17,0.0,0.04,0.44
87,8.0,geometry wars 3: dimensions,,,0.0,0.0,0.0,0.0,0.0
88,8.0,the wolf among us,2014.0,Telltale Games,0.06,0.02,0.0,0.01,0.09
89,7.0,lara croft and the temple of osiris,2014.0,Square Enix,0.0,0.0,0.0,0.0,0.0
90,5.0,the crew,2014.0,Ubisoft,0.32,0.34,0.0,0.06,0.71
91,8.0,limbo,,,0.0,0.0,0.0,0.0,0.0
92,7.0,tetris ultimate,2014.0,Ubisoft,0.0,0.0,0.0,0.0,0.0
93,8.0,blackguards 2,2017.0,Kalypso Media,0.02,0.0,0.0,0.0,0.02
94,7.0,dying light,2015.0,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47
95,7.0,elite: dangerous,2017.0,Frontier Developments,0.07,0.0,0.0,0.01,0.08
96,8.0,#idarb,,,0.0,0.0,0.0,0.0,0.0
97,8.0,evolve,2015.0,2K Games,0.4,0.2,0.0,0.06,0.67
98,8.0,the escapists,,,0.0,0.0,0.0,0.0,0.0
99,7.0,screamride,2015.0,Microsoft Studios,0.0,0.01,0.0,0.0,0.01
100,9.0,ori and the blind forest,,,0.0,0.0,0.0,0.0,0.0
101,6.0,dragon ball: xenoverse,2015.0,Namco Bandai Games,0.21,0.11,0.0,0.03,0.35
102,7.0,battlefield: hardline,2015.0,Electronic Arts,0.73,0.39,0.01,0.11,1.24
103,5.0,bladestorm: nightmare,2015.0,Tecmo Koei,0.06,0.02,0.0,0.01,0.08
104,8.0,borderlands: the handsome collection,2015.0,2K Games,0.49,0.13,0.0,0.07,0.68
105,8.0,pillars of eternity,2017.0,Paradox Interactive,0.04,0.0,0.0,0.01,0.05
106,7.0,slender: the arrival,2015.0,Unknown,0.0,0.0,0.0,0.0,0.0
107,8.0,mortal kombat x,2015.0,Warner Bros. Interactive Entertainment,1.34,0.23,0.0,0.18,1.74
108,6.0,assassin's creed chronicles: china,2015.0,Ubisoft,0.0,0.0,0.0,0.0,0.0
109,8.0,geometry wars 3: dimensions evolved,2016.0,Activision,0.02,0.0,0.0,0.0,0.02
110,10.0,the witcher 3: wild hunt,2015.0,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74
111,8.0,project cars,2015.0,Bandai Namco Games,0.21,0.16,0.0,0.04,0.41
112,7.0,wolfenstein: the old blood,2015.0,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
113,7.0,batman: arkham knight,2015.0,Warner Bros. Interactive Entertainment,0.97,0.46,0.0,0.14,1.58
114,6.0,lego jurassic world,2015.0,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78
