,Game,Year,Publisher,North America,Europe,Japan,Rest of World,Global
0,grand theft auto v,2014.0,Rockstar Games,4.7,3.25,0.01,0.76,8.72
1,call of duty: black ops 3,2015.0,Activision,4.63,2.04,0.02,0.68,7.37
2,call of duty: wwii,2017.0,Activision,3.75,1.91,0.0,0.57,6.23
3,red dead redemption 2,2018.0,Rockstar Games,3.76,1.47,0.0,0.54,5.77
4,minecraft,2014.0,Microsoft Studios,3.23,1.71,0.0,0.49,5.43
5,call of duty: advanced warfare,2014.0,Activision,3.25,1.49,0.01,0.48,5.22
6,battlefield 1,2016.0,Electronic Arts,3.37,1.26,0.02,0.48,5.13
7,fallout 4,2015.0,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
8,halo 5: guardians,2015.0,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
9,call of duty: infinite warfare,2016.0,Activision,2.91,1.44,0.0,0.44,4.79
10,star wars battlefront (2015),2015.0,Electronic Arts,2.49,1.26,0.02,0.38,4.15
11,forza horizon 3,2016.0,Microsoft Studios,1.64,1.96,0.02,0.32,3.93
12,fifa 17,2016.0,Electronic Arts,1.04,2.4,0.0,0.27,3.71
13,gears of war: ultimate edition,2015.0,Microsoft Studios,2.88,0.37,0.0,0.37,3.62
14,assassin's creed: unity,2014.0,Ubisoft,2.34,0.9,0.0,0.34,3.58
15,halo: the master chief collection,2014.0,Microsoft Studios,2.06,1.04,0.03,0.31,3.44
16,destiny,2014.0,Activision,2.17,0.92,0.0,0.32,3.41
17,gears of war 4,2016.0,Microsoft Studios,2.17,0.9,0.0,0.32,3.38
18,fifa 16,2015.0,EA Sports,0.92,2.1,0.0,0.24,3.25
19,fifa 18,2017.0,EA Sports,0.98,1.92,0.0,0.23,3.14
20,titanfall,2014.0,Electronic Arts,1.88,0.91,0.04,0.28,3.11
21,call of duty: ghosts,2013.0,Activision,1.92,0.86,0.0,0.28,3.07
22,overwatch,2016.0,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72
23,tom clancy's rainbow six: siege,2015.0,Ubisoft,1.62,0.84,0.0,0.25,2.71
24,tom clancy's the division,2016.0,Ubisoft,1.54,0.82,0.0,0.24,2.59
25,assassin's creed origins,2017.0,Ubisoft,1.34,0.92,0.0,0.22,2.47
26,madden nfl 16,2015.0,EA Sports,2.13,0.08,0.0,0.26,2.47
27,madden nfl 17,2016.0,EA Sports,2.14,0.04,0.0,0.26,2.44
28,nba 2k16,2015.0,2K Sports,2.01,0.15,0.0,0.25,2.41
