,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
40,The Banner Saga 2,84,8,7.6,26.0,T,"['Strategy', ' Turn-Based', ' Tactics']",2016,,0.0
41,Dishonored: Death Of The Outsider,84,16,6.3,51.0,M,"['Action Adventure', ' General']",2017,Bethesda Softworks,0.14
42,Fifa 16,84,45,4.4,477.0,E,"['Sports', ' Team', ' Soccer', ' Sim']",2015,EA Sports,3.25
43,Rogue Legacy,84,6,7.3,14.0,E10+,"['Action', ' Platformer', ' 2D']",2015,,0.0
44,Final Fantasy Xv,83,13,7.7,682.0,T,"['Action RPG', ' Role-Playing', ' Action RPG']",2016,Square Enix,1.14
45,Fifa 18,83,21,3.1,204.0,E,"['Sports', ' Team', ' Soccer', ' Sim']",2017,EA Sports,3.14
46,Sonic Mania,83,17,7.4,178.0,E,"['Action', ' Platformer', ' 2D']",2017,Sega,0.13
47,Madden Nfl 17,83,30,5.3,58.0,E,"['Sports', ' Team', ' Football', ' Sim']",2016,EA Sports,2.44
48,Thehunter: Call Of The Wild,83,5,7.5,16.0,T,"['Sports', ' Individual', ' Nature', ' Hunting']",2017,Astragon,0.21
49,Deus Ex: Mankind Divided,83,18,7.5,239.0,M,"['Action Adventure', ' General']",2016,Square Enix,0.39
50,Abzu,83,6,7.2,31.0,E,"['Adventure', ' 3D', ' Third-Person']",2016,505 Games,0.02
51,Superhot,83,18,7.9,89.0,T,"['Modern', ' Action', ' Shooter', ' First-Person', ' Tactical']",2016,,0.0
52,Don Bradman Cricket 17,83,4,7.5,21.0,E,"['Sports', ' Team', ' Cricket']",2016,Tru Blu Entertainment,0.0
53,Gears Of War: Ultimate Edition,82,74,7.6,673.0,M,"['Action', ' Shooter', ' Third-Person', ' Arcade']",2015,Microsoft Studios,3.62
54,The Sexy Brutale,82,13,7.1,13.0,T,"['Adventure', ' General']",2017,,0.0
55,Child Of Light,82,32,7.7,270.0,E10+,"['Action', ' General', ' General', ' Role-Playing', ' General']",2014,,0.0
56,Geometry Wars 3: Dimensions,82,27,7.7,40.0,E,"['Action', ' Shooter', ' Static', "" Shoot-'Em-Up"", ' Top-Down']",2014,,0.0
57,Rime,82,18,7.4,73.0,E10+,"['Action', ' Adventure', ' General', ' 3D', ' Third-Person']",2017,Grey Box,0.03
58,Lovers In A Dangerous Spacetime,82,27,7.2,31.0,E10+,"['Platformer', ' 2D', ' Action', ' Shooter', "" Shoot-'Em-Up"", ' Horizontal']",2015,,0.0
59,Far Cry 5,82,32,6.7,382.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2018,Ubisoft,1.78
60,Pro Evolution Soccer 2018,82,11,6.3,45.0,E,"['Sports', ' Team', ' Soccer', ' Sim']",2017,Konami Digital Entertainment,0.12
