,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_date,Year,Publisher,North America,Europe,Japan,Rest of World,Global
71,Super Time Force,80,36,6.5,117.0,T,"['Action', ' Platformer', ' Shooter', ' 2D', ' Scrolling', "" Shoot-'Em-Up"", ' Vertical']","May 14, 2014",,,0.0,0.0,0.0,0.0,0.0
72,Trials Fusion,80,28,7.1,167.0,E10+,"['Driving', ' Racing', ' Arcade', ' Motorcycle', ' Automobile', ' Street', ' Street']","Apr 16, 2014",2014.0,Ubisoft,0.12,0.1,0.0,0.02,0.25
73,Naruto Shippuden: Ultimate Ninja Storm 4,80,12,8.2,80.0,T,"['Action', ' Fighting', ' 3D']","Feb 9, 2016",2016.0,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35
74,Borderlands: The Handsome Collection,80,11,7.9,152.0,M,"['Miscellaneous', ' Compilation']","Mar 24, 2015",2015.0,2K Games,0.49,0.13,0.0,0.07,0.68
75,NHL 16,80,18,6.1,84.0,E10+,"['Sports', ' Team', ' Ice Hockey', ' Sim']","Sep 15, 2015",2015.0,EA Sports,0.41,0.05,0.0,0.05,0.51
76,Tom Clancy's The Division,80,33,6.9,688.0,M,"['Shooter', ' Modern', ' Modern', ' Action', ' Shooter', ' Third-Person', ' Tactical', ' Arcade']","Mar 8, 2016",2016.0,Ubisoft,1.54,0.82,0.0,0.24,2.59
77,Madden NFL 15,80,19,6.2,138.0,E,"['Sports', ' Traditional', ' Team', ' Football', ' Sim']","Aug 26, 2014",2014.0,EA Sports,1.34,0.1,0.0,0.17,1.6
78,Elite: Dangerous,80,30,7.1,111.0,T,"['Simulation', ' Space', ' Civilian']","Oct 6, 2015",2017.0,Frontier Developments,0.07,0.0,0.0,0.01,0.08
79,Call of Duty: WWII,80,21,4.2,399.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","Nov 3, 2017",2017.0,Activision,3.75,1.91,0.0,0.57,6.23
80,Forza Motorsport 5,79,76,6.0,1126.0,E,"['GT / Street', ' Driving', ' Racing', ' Simulation', ' GT / Street', ' Automobile']","Nov 22, 2013",2013.0,Microsoft Studios,1.28,0.9,0.01,0.21,2.4
81,A Way Out,79,26,7.6,151.0,M,"['Action Adventure', ' General']","Mar 23, 2018",2018.0,Electronic Arts,0.17,0.05,0.0,0.02,0.24
82,The Evil Within,79,24,7.4,509.0,M,"['Horror', ' Action Adventure', ' Horror', ' Survival']","Oct 14, 2014",2014.0,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69
83,For Honor,79,26,5.9,280.0,M,"['Action Adventure', ' General']","Feb 14, 2017",2017.0,Ubisoft,0.57,0.21,0.0,0.08,0.87
84,Ace Combat 7: Skies Unknown,79,17,7.8,87.0,T,"['Simulation', ' Flight', ' Combat']","Jan 18, 2019",2019.0,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0
85,Killing Floor 2,79,9,6.8,9.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","Aug 29, 2017",2017.0,Tripwire Interactive,0.05,0.0,0.0,0.01,0.06
86,Wolfenstein: The New Order,79,18,7.8,468.0,M,"['General', ' Shooter', ' Historic', ' Action', ' Shooter', ' First-Person', ' Historic', ' Arcade']","May 20, 2014",2014.0,Bethesda Softworks,0.39,0.3,0.0,0.06,0.75
87,Halo Wars 2,79,79,6.1,492.0,T,"['Strategy', ' Real-Time', ' General']","Feb 17, 2017",2017.0,Microsoft Studios,0.31,0.15,0.0,0.05,0.51
88,Pro Evolution Soccer 2015,79,9,6.7,71.0,E,"['Action', ' General', ' Sports', ' Traditional', ' Team', ' Soccer', ' Sim']","Nov 11, 2014",2014.0,Konami Digital Entertainment,0.04,0.1,0.0,0.01,0.15
89,World to the West,79,10,,,E10+,"['Action Adventure', ' Linear']","May 5, 2017",2017.0,Soedesco,0.0,0.0,0.0,0.0,0.0
90,The Book of Unwritten Tales 2,79,7,7.2,9.0,T,"['Adventure', ' General', ' Point-and-Click']","Sep 18, 2015",2015.0,Nordic Games,0.0,0.0,0.0,0.0,0.0
91,Alien: Isolation,78,24,8.0,381.0,M,"['Action Adventure', ' Sci-Fi', ' General', ' Survival']","Oct 7, 2014",2014.0,Sega,0.23,0.25,0.0,0.04,0.52
92,Skylanders Imaginators,78,14,5.2,17.0,E10+,"['Action', ' Platformer', ' 3D']","Oct 16, 2016",2016.0,Activision,0.19,0.05,0.0,0.03,0.27
93,Watch Dogs,78,15,5.9,771.0,M,"['Action Adventure', ' Modern', ' General', ' Modern', ' Open-World']","May 27, 2014",2014.0,Ubisoft,0.91,0.59,0.0,0.15,1.64
94,Call of Duty: Ghosts,78,7,4.3,716.0,M,"['Action', ' Shooter', ' Shooter', ' First-Person', ' Modern', ' Modern', ' Arcade']","Nov 19, 2013",2013.0,Activision,1.92,0.86,0.0,0.28,3.07
95,Assassin's Creed Syndicate,78,22,6.3,504.0,M,"['Historic', ' Action Adventure', ' Open-World']","Oct 23, 2015",2015.0,Ubisoft,0.71,0.61,0.0,0.12,1.44
96,Dead Rising 3,78,69,6.9,953.0,M,"['General', ' Action', ' Action Adventure', ' General', ' Open-World']","Nov 22, 2013",2013.0,Microsoft Studios,1.06,0.4,0.01,0.15,1.63
