,title,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,developer,genres,release_date
879,Runestone Keeper,63,4,,,T,"E-Home Entertainment, E-Home Entertainment Developerment Co., Ltd","['Role-Playing, Roguelike']","Apr 25, 2018"
880,ReCore,63,75,6.7,582.0,T,"Armature Studio, comcept","['Action Adventure, General']","Sep 13, 2016"
881,Serial Cleaner,63,12,7.5,12.0,M,"iFun4all, Curve Digital","['Action, Action Adventure, General, Linear']","Jul 14, 2017"
882,Gigantosaurus: The Game,63,5,,,E,Cyber Group Studios,"['Action Adventure, General']","Mar 27, 2020"
883,The Station,63,14,7.2,13.0,T,The Station,"['Adventure, 3D, First-Person']","Feb 20, 2018"
884,Bard's Gold,63,6,,,E,Erdem Sen,"['Action, Platformer, 2D']","Jun 17, 2016"
885,Air Guitar Warrior,63,5,,,E10+,Virtual Air Guitar Company,"[""Action, Shooter, Shoot-'Em-Up, Horizontal""]","Mar 29, 2017"
886,Moons of Madness,63,7,,,M,"Rock Pocket Games, Dreamloop Games","['Action Adventure, Survival']","Mar 24, 2020"
887,Gemini: Heroes Reborn,63,12,6.2,6.0,T,"Phosphor Games Studio, LLC, Phosphor Games","['Action Adventure, Linear']","Jan 19, 2016"
888,TERA,63,5,4.4,7.0,M,Bluehole Studio,"['Role-Playing, Massively Multiplayer']","Apr 3, 2018"
889,All-Star Fruit Racing,63,6,,,E,3DClouds.it,"['Racing, Arcade, Automobile']","Aug 21, 2018"
890,The Living Dungeon,63,5,,,T,RadiationBurn,"['Miscellaneous, Board / Card Game']","Jan 29, 2016"
891,McDROID,63,4,,,E,Elefantopia LLC,"['Strategy, Real-Time, Defense']","Mar 4, 2016"
892,Albert & Otto: The Adventure Begins,63,4,,,E10+,"Digerati Distribution, Digerati","['Action, Platformer, 2D']","Jan 10, 2018"
893,Dangerous Golf,63,13,4.8,17.0,E,Three Fields Entertainment,"['Sports, Individual, Golf, Arcade']","Jun 3, 2016"
894,Sebastien Loeb Rally Evo,63,8,7.4,27.0,E,Milestone S.r.l,"['Racing, General']","Jan 29, 2016"
895,Legendary Eleven,63,6,,,E,Eclipse Games,"['Sports, Team, Soccer, Arcade']","Jan 4, 2019"
896,Assetto Corsa,63,10,6.5,33.0,E,Kunos Simulazioni,"['Racing, Simulation, Automobile']","Aug 30, 2016"
897,Shiftlings,63,10,5.8,4.0,T,Rock Pocket Games,"['Action, Platformer, 2D']","Mar 4, 2015"
898,OVERPASS,63,10,5.5,8.0,E,Zordix Racing,"['Racing, Simulation, Automobile']","Mar 17, 2020"
899,How to Survive 2,63,6,6.7,6.0,M,EKO Software,"['Action Adventure, Survival']","Feb 13, 2017"
900,Sylvio,63,4,,,T,Stroboskop,"['Adventure, 3D, First-Person']","Jan 13, 2017"
901,Super Mutant Alien Assault,62,5,5.3,6.0,T,Cybernate,"['Action, Platformer, 2D']","Jul 12, 2016"
902,A Knight's Quest,62,8,4.7,7.0,T,Sky9,"['Action Adventure, General']","Oct 11, 2019"
903,Giga Wrecker Alt.,62,7,,,T,Game Freak,"['Action, Platformer, 2D']","May 2, 2019"
904,Gas Guzzlers Extreme,62,10,6.9,7.0,T,Iceberg Interactive,"['Simulation, Vehicle, Combat']","Nov 4, 2016"
905,Romancing SaGa 2,62,7,6.3,4.0,T,SquareSoft,"['Role-Playing, Japanese-Style']","Dec 15, 2017"
906,Sonic Forces,62,12,7.1,205.0,E10+,"SegaSoft, Sonic Team","['Action Adventure, General']","Nov 7, 2017"
907,Batman: Arkham Knight - A Matter of Family,62,7,5.8,33.0,M,WB Games Montreal,"['Action Adventure, Open-World']","Jul 14, 2015"
908,Baseball Riot,62,9,,,E10+,"10tons Ltd, 10tons","['Puzzle, Action, General']","Dec 9, 2015"
909,Phantom Trigger,62,4,5.0,4.0,T,Bread Team,"['Role-Playing, Action Adventure, Action RPG, Linear']","Apr 20, 2018"
910,Assassin's Creed Chronicles: Russia,62,24,4.5,36.0,T,"Ubisoft, Climax Studios","['Action Adventure, Linear']","Feb 9, 2016"
911,Oh My Godheads,62,8,,,T,Square Enix,"['Action, Fighting, 3D']","Dec 5, 2017"
912,Tiny Troopers: Joint Ops,62,12,5.1,7.0,T,"Kukouri Mobile Entertainment, Epiphany Games","[""Action, General, Shooter, Shoot-'Em-Up, Top-Down""]","Feb 26, 2016"
913,Absolver,62,7,7.1,9.0,T,Sloclap,"['Role-Playing, Action RPG']","Jan 7, 2019"
914,Inside My Radio,62,5,,,E10+,Seaven Studio,"['Action, Platformer, 2D']","Sep 18, 2015"
915,Elex,62,8,6.4,523.0,M,Piranha Bytes,"['Role-Playing, Western-Style']","Oct 17, 2017"
916,Goat Simulator: Mmore Goatz Edition,62,6,,,T,Coffee Stain Studios,"['Simulation, General']","Aug 26, 2015"
917,Among the Sleep,62,5,4.3,6.0,T,Krillbite Studio,"['Adventure, 3D, First-Person']","Jun 3, 2016"
918,Hero Defense,62,8,7.5,4.0,E10+,Happy Tuesday,"['Strategy, Real-Time, Defense']","Aug 15, 2018"
919,Forza Horizon 2 Presents Fast & Furious,61,12,7.8,121.0,E10+,Playground Games,"['Racing, Simulation, Automobile']","Mar 27, 2015"
920,Battlefield 4: Naval Strike,61,4,6.3,19.0,M,EA DICE,"['Action, Shooter, First-Person, Modern, Arcade']","Apr 25, 2014"
921,Sixty Second Shooter Prime,61,8,7.2,15.0,E,Happion Laboratories,"[""Action, Shooter, Static, Shoot-'Em-Up, Top-Down""]","Jun 18, 2014"
922,Hunter's Legacy,61,7,,,E,Lienzo,"['Action, Action Adventure, Platformer, Open-World, 2D']","Jan 20, 2017"
923,Bee Simulator,61,11,6.3,16.0,E,Varsav Game Studios,"['Simulation, General']","Nov 12, 2019"
924,Xenon Racer,61,6,7.2,19.0,E,3DClouds.it,"['Racing, Arcade, Automobile']","Mar 26, 2019"
925,Deadbeat Heroes,61,7,,,T,Deadbeat Studios,"[""Action, Beat-'Em-Up, 3D""]","Oct 10, 2017"
926,Jump Force,61,16,4.8,79.0,T,"Spike Chunsoft Co. Ltd., Spike Chunsoft","['Action Adventure, General, Action, Fighting, 3D']","Feb 15, 2019"
927,Zombie Driver: Ultimate Edition,61,4,6.1,20.0,M,EXOR Studios,"['Action, General']","Jun 24, 2014"
928,Gryphon Knight Epic,61,5,,,E10+,Cyber Rhino Studios,"[""Action, Shooter, Shoot-'Em-Up, Horizontal""]","Mar 30, 2016"
929,Armikrog,61,8,7.0,9.0,E10+,"Versus Evil, Pencil Test Studios","['Adventure, Point-and-Click']","Aug 23, 2016"
930,Perception,61,11,6.4,13.0,M,The Deep End Games,"['Adventure, 3D, First-Person']","Jun 6, 2017"
931,Rogue Trooper Redux,61,10,6.6,5.0,T,Sold Out,"['Action, Shooter, Third-Person, Arcade']","Oct 17, 2017"
932,Anoxemia,61,6,,,M,Badland Games,"['Action, Platformer, 2D']","Mar 28, 2017"
933,DreamWorks Dragons Dawn of New Riders,61,5,,,E10+,Climax Studios,"['Action Adventure, General, Linear']","Feb 15, 2019"
934,Cast of the Seven Godsends: Redux,61,5,6.0,4.0,T,Raven Travel Studios,"['Action, Platformer, 2D']","Jul 20, 2016"
935,Totally Reliable Delivery Service,61,5,6.8,8.0,E,We're Five Games,"['Action, General']","Apr 1, 2020"
936,White Night,61,12,7.4,16.0,M,OSome Studio,"['Action, General, Action Adventure, Survival']","Mar 6, 2015"
937,Siegecraft Commander,61,10,,,E10+,Blowfish Studios,"['Strategy, Real-Time, MOBA, Defense']","Jan 17, 2017"
938,RICO,61,5,4.0,4.0,M,Ground Shatter Ltd.,"['Action, Shooter, First-Person, Arcade']","Mar 13, 2019"
939,Middle-earth: Shadow of Mordor - The Bright Lord,61,4,7.2,16.0,M,Monolith Productions,"['Action Adventure, Open-World']","Feb 24, 2015"
940,Minecraft: Story Mode - Episode 2: Assembly Required,61,8,3.9,22.0,E10+,Telltale Games,"['Action Adventure, Adventure, General, Point-and-Click, Linear']","Oct 27, 2015"
941,Kinect Sports Rivals,60,53,5.0,146.0,E10+,Microsoft Game Studios,"['General, Sports, General']","Apr 8, 2014"
942,Rory McIlroy PGA Tour,60,26,4.2,75.0,E,EA Tiburon,"['Traditional, Sports, Individual, Golf, Sim']","Jul 14, 2015"
943,The Peanuts Movie: Snoopy's Grand Adventure,60,9,5.0,4.0,E,"Activision, Behaviour Interactive","['Action, Platformer, 2D']","Nov 3, 2015"
944,The Town of Light,60,13,6.6,17.0,M,"LKA Interactive, LKA","['Adventure, 3D, First-Person']","Jun 6, 2017"
945,Ryse: Son of Rome,60,77,6.2,1563.0,M,Crytek,"['Action Adventure, Fantasy, General, Fantasy']","Nov 22, 2013"
946,NBA Live 16,60,17,5.6,70.0,E,EA Sports,"['Sports, Team, Basketball, Sim']","Sep 29, 2015"
947,Gunscape,60,4,,,T,Blowfish Studios,"['Action, Shooter, First-Person, Sci-Fi, Arcade']","Mar 2, 2016"
948,Beyond Eyes,60,24,5.6,28.0,E,tiger & squid,"['Action Adventure, General']","Aug 4, 2015"
949,Casey Powell Lacrosse 16,60,4,7.6,26.0,E,"Big Ant Studios, Crosse Studios","['Sports, Team, Other']","Mar 9, 2016"
950,Kung-Fu for Kinect,60,4,6.0,9.0,E10+,Virtual Air Guitar Company,"['Miscellaneous, Exercise / Fitness']","Jun 24, 2016"
951,Skylar & Plux: Adventure on Clover Island,60,12,6.0,8.0,E,Right Nice Games,"['Action, Platformer, 3D']","May 19, 2017"
952,Crackdown 3,60,82,4.2,938.0,M,"Sumo Digital, Elbow Rocket","['Action, Sci-Fi, Third-Person, Shooter, Action Adventure, Open-World']","Feb 15, 2019"
953,Naruto to Boruto: Shinobi Striker,60,7,5.7,15.0,T,"CyberConnect2, Soleil","['Action, Fighting, 3D']","Aug 31, 2018"
954,Achtung! Cthulhu Tactics,60,9,,,T,Auroch Digital,"['Strategy, Turn-Based, Tactics']","Nov 23, 2018"
955,Feist,59,7,,,E10+,Finji,"['Action, Platformer, 2D']","Dec 13, 2016"
956,One Punch Man: A Hero Nobody Knows,59,13,3.5,15.0,T,Bandai Namco Games,"['Action, Fighting, 2D']","Feb 28, 2020"
957,Cars 3: Driven to Win,59,9,7.0,5.0,E10+,Avalanche Software,"['Racing, Arcade, Automobile']","Jun 13, 2017"
958,Zombie Vikings,59,5,,,T,Zoink!,"[""Action, Beat-'Em-Up, 2D""]","Feb 22, 2017"
959,Defenders of Ekron: Definitive Edition,59,6,4.2,9.0,T,In Vitro Games,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Aug 7, 2018"
960,The Deer God,59,6,3.8,39.0,T,Cinopt Studios LLC,"['Action, Platformer, 2D']","Sep 1, 2015"
961,Tetris Ultimate,59,8,4.2,13.0,E,"Ubisoft, Ubisoft San Francisco","['Miscellaneous, Puzzle, Stacking']","Dec 16, 2014"
962,NHL 15,59,22,3.2,181.0,E10+,EA Sports,"['Sports, Traditional, Team, Ice Hockey, Sim']","Sep 9, 2014"
963,Surf World Series,59,4,,,E,Climax Studios,"['Sports, Individual, Surf / Wakeboard']","Aug 30, 2017"
964,Slender: The Arrival,59,6,6.9,19.0,T,Blue Isle Studios,"['Adventure, 3D, First-Person']","Mar 25, 2015"
965,Subject 13,59,4,,,E,Paul Cuisset,"['Adventure, General']","Jan 31, 2017"
966,I Am Bread,59,7,4.0,6.0,E10+,Bossa Studios,"['Miscellaneous, General']","Jan 20, 2017"
967,Christopher Brookmyre's Bedlam,59,4,,,M,RedBedlam,"['Action, Shooter, First-Person, Arcade']","Oct 16, 2015"
968,Fallout 4: Wasteland Workshop,59,5,2.1,45.0,M,Bethesda Game Studios,"['Role-Playing, Western-Style']","Apr 12, 2016"
969,Destiny: The Dark Below,59,4,2.8,49.0,T,Bungie,"['Action, Shooter, First-Person, Sci-Fi, Arcade']","Dec 9, 2014"
970,GunWorld 2,59,7,5.6,5.0,E10+,M07 Games,"['Action, General']","May 13, 2016"
971,The Incredible Adventures of Van Helsing,59,8,7.3,54.0,T,NeocoreGames,"['Role-Playing, Action RPG']","Dec 1, 2015"
972,Lost Sea,59,8,6.5,6.0,E10+,EastAsiaSoft,"['Strategy, General']","Jun 29, 2016"
973,Reagan Gorbachev,59,4,,,M,Team2Bit,"['Puzzle, General']","Feb 24, 2016"
974,Moto Racer 4,59,6,4.4,5.0,E,PQube,"['Racing, Arcade, Other']","Jan 24, 2017"
975,Guts and Glory,59,6,7.0,7.0,M,HakJak Productions,"['Simulation, Vehicle, Civilian']","Jul 19, 2018"
976,The Dark Crystal: Age of Resistance Tactics,58,8,,,E10+,BonusXP,"['Strategy, Turn-Based, Tactics']","Feb 4, 2020"
977,SolSeraph,58,7,,,E,ACE Team,"['Action Adventure, General']","Jul 10, 2019"
978,The Church in the Darkness,58,9,6.5,6.0,M,Paranoid Productions,"['Action Adventure, Open-World']","Aug 2, 2019"
979,Sword Coast Legends,58,5,6.9,10.0,T,n-Space,"['Role-Playing, General, Western-Style']","Jul 19, 2016"
980,WE ARE DOOMED,58,5,,,E,Vertex Pop,"[""Action, Shooter, Shoot-'Em-Up, Horizontal""]","Apr 17, 2015"
981,Bridge Constructor,58,7,6.5,4.0,E,ClockStone Software,"['Simulation, Miscellaneous, General, Virtual, Career']","Aug 21, 2015"
982,Dead by Daylight,58,10,6.0,53.0,M,505 Games,"['Action Adventure, Survival']","Jun 20, 2017"
983,Shape Up,58,6,7.6,33.0,E,Ubisoft Montreal,"['Miscellaneous, Exercise / Fitness']","Nov 11, 2014"
984,The Dwarves,58,13,3.9,21.0,M,Nordic Games Publishing,"['Role-Playing, General']","Dec 1, 2016"
985,Pixel Heroes: Byte & Magic,58,12,,,T,Headup Games,"['Role-Playing, General']","Feb 3, 2017"
986,OK K.O.! Let's Play Heroes,57,7,,,E10+,Capy Games,"[""Action, Beat-'Em-Up, 2D""]","Jan 23, 2018"
987,Symmetry,57,5,,,T,Sleepless Clinic,"['Adventure, General']","Feb 23, 2018"
988,Micro Machines World Series,57,15,5.0,9.0,E10+,"Codemasters, Just Add Water","['Racing, General, Arcade, Automobile']","Jun 30, 2017"
989,Uno,57,8,7.0,13.0,E,Ubisoft Chengdu,"['Miscellaneous, Board / Card Game']","Aug 16, 2016"
990,Cel Damage HD,57,6,,,T,Finish Line Games,"['Simulation, Vehicle, Combat']","Mar 11, 2016"
991,Whispering Willows,57,4,6.6,5.0,T,"Abstraction Games, Night Light Interactive","['Adventure, General']","Aug 28, 2015"
992,ZHEROS,57,13,4.2,36.0,E10+,Rimlight Studios,"[""Action, Beat-'Em-Up, 3D""]","Jan 15, 2016"
993,Black Mirror,57,10,2.9,9.0,M,THQ Nordic,"['Adventure, 3D, Third-Person']","Nov 28, 2017"
994,The Path of Motus,57,4,,,E10+,MichaelArts,"['Action, Platformer, 2D']","Jul 17, 2018"
995,Sniper: Ghost Warrior 3,57,12,6.4,102.0,M,City Interactive,"['Action, Shooter, First-Person, Tactical, Modern']","Apr 25, 2017"
996,RWBY: Grimm Eclipse,57,7,7.3,7.0,T,Rooster Teeth Games,"[""Action, Beat-'Em-Up, 3D""]","Jan 17, 2017"
997,Uncanny Valley,57,9,3.3,7.0,M,Digerati Distribution,"['Action Adventure, Survival']","Feb 10, 2017"
998,Trials of the Blood Dragon,57,19,5.7,21.0,T,RedLynx,"['Action, Platformer, 2D']","Jun 13, 2016"
999,Submerged,57,10,6.8,15.0,E10+,Uppercut Games Pty Ltd,"['Action Adventure, General']","Aug 7, 2015"
1000,WWE 2K15,56,25,5.3,68.0,T,Yuke's,"['Action, Sports, Fighting, Individual, Combat, Wrestling']","Nov 18, 2014"
1001,Earthfall,56,19,5.5,14.0,T,Holospark,"['Action, Shooter, First-Person, Tactical']","Jul 13, 2018"
1002,Marooners,56,4,5.8,5.0,E,M2H,"['Miscellaneous, Party / Minigame']","Feb 6, 2018"
1003,Fall of Light: Darkest Edition,56,4,,,T,RuneHeads,"['Role-Playing, Action Adventure, Action RPG, Linear']","Aug 14, 2018"
1004,At Sundown: Shots in the Dark,56,4,,,T,Mild Beast Games,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Jan 22, 2019"
1005,Dead Rising 3: Fallen Angel,56,7,4.7,34.0,M,Capcom Vancouver,"['Action, Action Adventure, General, Open-World']","Feb 11, 2014"
1006,Prototype Biohazard Bundle,56,4,3.1,14.0,M,Radical Entertainment,"['Miscellaneous, Compilation']","Jul 14, 2015"
1007,Think of the Children,56,4,,,T,Jammed Up Studios,"['Action, General']","Sep 26, 2018"
1008,Valkyria Revolution,56,8,4.9,23.0,T,"SegaSoft, Sega","['Role-Playing, Strategy, Turn-Based, Action RPG, Tactics']","Jun 27, 2017"
1009,Jettomero: Hero of the Universe,56,5,,,E10+,Ghost Time Games,"['Action, General']","Sep 15, 2017"
1010,DayZ,56,4,3.1,25.0,M,Dean 'Rocket' Hall,"['Action, Shooter, First-Person, Arcade']","Aug 29, 2018"
1011,Dead Effect 2,56,7,6.4,7.0,M,"BadFly Interactive, a.s, BadFly Interactive","['Action, General, Shooter, First-Person, Arcade']","Jan 13, 2017"
1012,Dynasty Warriors 9,56,13,3.9,30.0,T,"Omega Force, Koei Tecmo Games","[""Action Adventure, Open-World, Action, Beat-'Em-Up, 3D""]","Feb 13, 2018"
1013,Contra: Rogue Corps,56,12,4.6,30.0,M,Konami,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Sep 24, 2019"
1014,Crimson Dragon,55,39,6.5,257.0,T,Grounding Inc.,"['Shooter, Rail, Action, Shooter, Rail']","Nov 22, 2013"
1015,Bit Dungeon+,55,4,,,T,Cosen,"['Action Adventure, General']","May 5, 2017"
1016,The Bradwell Conspiracy,55,12,7.7,6.0,T,Bossa Studios,"['Adventure, 3D, First-Person']","Oct 11, 2019"
1017,Magnetic: Cage Closed,55,7,,,T,Guru Games,"['Adventure, 3D, First-Person, Sci-Fi']","Aug 28, 2015"
1018,Warhammer Quest,55,4,,,T,Chilled Mouse,"['Strategy, Turn-Based, General']","Feb 24, 2017"
1019,Black & White Bushido,55,4,,,T,Good Catch,"['Action, Platformer, 2D']","May 17, 2017"
1020,MX vs. ATV All Out,55,4,6.4,5.0,E10+,Rainbow Studios,"['Racing, Simulation, Automobile']","Mar 23, 2018"
1021,Your Toy,55,5,5.7,6.0,T,Viva Games,"['Adventure, 3D, First-Person']","Nov 17, 2017"
1022,Atomic Heist,55,4,,,E10+,Live Aliens,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Apr 20, 2018"
1023,Hello Neighbor: Hide & Seek,55,4,5.4,12.0,T,Gearbox Publishing,"['Action Adventure, Survival']","Dec 7, 2018"
1024,Teenage Mutant Ninja Turtles: Mutants in Manhattan,55,14,5.9,42.0,T,PlatinumGames,"[""Action, Beat-'Em-Up, 3D""]","May 24, 2016"
1025,Soul Axiom,54,9,,,T,Wales Interactive Ltd.,"['Adventure, 3D, First-Person']","Jun 8, 2016"
1026,Kholat,54,7,5.5,4.0,T,IMGN.PRO,"['Adventure, 3D, First-Person']","Jun 9, 2017"
1027,Away: Journey to the Unexpected,54,5,,,T,Aurelien Regard Games,"['Action, General']","Feb 8, 2019"
1028,Ultimate Racing 2D,54,4,,,E,Applimazing,"['Action, General']","Dec 11, 2019"
1029,FORCED,54,4,,,T,BetaDwarf,"['Role-Playing, Action RPG']","Oct 21, 2015"
1030,RIDE,54,9,5.0,18.0,E,Milestone S.r.l,"['Racing, Simulation, General, Automobile']","Oct 6, 2015"
1031,Quantum Rush Champions,54,4,,,E,GameArt Studio GmbH,"['Racing, Arcade, Futuristic']","Jun 19, 2015"
1032,Farming Simulator 15,54,6,6.6,15.0,E,Giants Software,"['Simulation, General, Virtual, Career']","May 19, 2015"
1033,Dakar 18,54,7,7.2,9.0,E,Bigmoon Entertainment,"['Racing, Arcade, Automobile']","Sep 25, 2018"
1034,Power Rangers: Battle for the Grid,53,5,6.0,9.0,T,nWay,"['Action, Platformer, Fighting, 2D']","Mar 26, 2019"
1035,Angry Birds Star Wars,53,4,6.9,64.0,E,Exient Entertainment,"['Strategy, Puzzle, Action, General, General']","Nov 22, 2013"
1036,Goat Simulator,53,15,6.3,72.0,T,Coffee Stain Studios,"['Simulation, General']","Apr 17, 2015"
1037,Shred It!,53,6,5.5,4.0,E,"EM Studios, EM Studios Ltd","['Action, Sports, General, Individual, Ski / Snowboard']","Mar 18, 2016"
1038,Elea - Episode 1,53,5,6.2,5.0,T,"Kyodai, Kyodai Ltd.","['Adventure, General']","Sep 6, 2018"
1039,Revenant Dogma,53,5,,,E10+,EXE Create,"['Role-Playing, Japanese-Style']","Sep 12, 2018"
1040,#KILLALLZOMBIES,53,9,,,T,Beatshapers,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Aug 10, 2016"
1041,Pumped BMX Pro,53,5,,,E,Yeah Us!,"['Sports, Racing, Arcade, Individual, Biking, Automobile']","Feb 7, 2019"
1042,Friday the 13th: The Game,53,9,5.7,71.0,M,"IllFonic, Gun Media","['Action Adventure, Survival']","May 26, 2017"
1043,Constructor,53,6,4.3,4.0,T,System 3,"['Strategy, Real-Time, General']","Jul 25, 2017"
1044,Halo: Spartan Assault,53,28,4.5,267.0,T,"Vanguard, 343 Industries","[""Action, General, Shooter, Scrolling, Shoot-'Em-Up, Top-Down, Vertical""]","Dec 23, 2013"
1045,Pixel Piracy,53,7,3.1,8.0,T,Abstraction Games,"['Strategy, Real-Time, General']","Feb 16, 2016"
1046,Don't Knock Twice,53,4,,,M,Wales Interactive Ltd.,"['Adventure, 3D, First-Person']","Sep 5, 2017"
1047,Xuan-Yuan Sword: The Gate of Firmament,52,5,7.6,7.0,T,DOMO Studio,"['Role-Playing, Japanese-Style']","Jan 24, 2018"
1048,DreamBreak,52,4,,,T,Digerati Distribution,"['Adventure, Point-and-Click']","Sep 15, 2017"
1049,The Grand Tour Game,52,5,6.8,9.0,T,Amazon Game Studios,"['Racing, Arcade, Automobile']","Jan 15, 2019"
1050,Everreach: Project Eden,52,5,,,E10+,Elder Games,"['Action, Shooter, Third-Person, Arcade']","Dec 4, 2019"
1051,Extinction,52,18,1.7,27.0,M,Iron Galaxy Studios,"['Action Adventure, General']","Apr 10, 2018"
1052,Spectra: 8bit Racing,52,9,6.5,11.0,E,Gateway Interactive,"['Driving, Racing, Arcade, Automobile']","Jul 10, 2015"
1053,Carmageddon: Max Damage,52,15,7.2,23.0,M,Stainless Games,"['Racing, Arcade, Automobile']","Jul 5, 2016"
1054,ZAMB! Redux,52,5,,,T,Nano Games,"['Action, General']","May 30, 2018"
1055,No Time to Explain,52,9,5.3,9.0,T,"tiny Build GAMES, tinyBuild","['Action, Platformer, 2D']","Jul 17, 2015"
1056,Immortal: Unchained,51,7,7.5,22.0,T,Toadman Interactive,"['Role-Playing, Action RPG']","Sep 7, 2018"
1057,Chivalry: Medieval Warfare,51,7,4.1,20.0,M,"Torn Banner Studios, Hardsuit Labs","[""Action, General, Beat-'Em-Up, 3D""]","Dec 2, 2015"
1058,Dead Rising 3: The Last Agent,51,7,4.3,26.0,M,Capcom Vancouver,"['Action, Action Adventure, General, Open-World']","Mar 18, 2014"
1059,Murdered: Soul Suspect,51,17,7.1,155.0,M,Airtight Games,"['Action, Action Adventure, General, Horror, Survival']","Jun 3, 2014"
1060,Generation Zero,50,14,6.1,37.0,T,Avalanche Studios,"['Action Adventure, Open-World']","Mar 26, 2019"
1061,AereA,50,7,4.0,4.0,E10+,"Triangle Studios, Soedesco","['Role-Playing, Action RPG']","Jun 30, 2017"
1062,Nutjitsu,50,4,4.4,18.0,E,NinjaBee,"['Action, General']","May 8, 2014"
1063,Skyling: Garden Defense,50,5,,,E,Mighty Studios LLC,"['Action, General']","Apr 19, 2016"
1064,Homefront: The Revolution,49,12,4.4,136.0,M,Deep Silver Dambuster Studios,"['Modern, Action, Shooter, First-Person, Arcade']","May 17, 2016"
1065,Fallout 76,49,33,3.2,1674.0,M,Bethesda Game Studios,"['Role-Playing, Western-Style']","Nov 14, 2018"
1066,LA Cops,49,19,6.4,19.0,M,Modern Dream,"[""Action, General, Shooter, Shoot-'Em-Up, Top-Down""]","Mar 13, 2015"
1067,In Space We Brawl: Full Arsenal Edition,49,4,,,E,Forge Reply,"['Action, General']","Feb 12, 2016"
1068,The Legend of Korra,49,13,6.4,80.0,T,PlatinumGames,"['Action Adventure, General, Fantasy']","Oct 22, 2014"
1069,Nickelodeon Kart Racers,49,7,5.9,19.0,E,"Bamtang, GameMill Entertainment","['Racing, Arcade, Automobile']","Oct 23, 2018"
1070,MagNets: Fully Charged,49,9,4.1,7.0,E10+,Total Monkery,"['Action, General']","Mar 11, 2016"
1071,Hell Warders,48,5,,,T,Ares Games,"['Role-Playing, Action RPG']","Mar 20, 2019"
1072,LocoCycle,48,46,4.0,100.0,T,Twisted Pixel Games,"['Driving, Racing, General, General, Arcade, Automobile']","Nov 22, 2013"
1073,Bladestorm: Nightmare,48,6,6.9,9.0,T,Omega Force,"[""Action, Beat-'Em-Up, 3D""]","Mar 17, 2015"
1074,Vaccine,48,7,,,M,"Rainy Night Creations, RNC","['Action Adventure, Survival']","Feb 21, 2017"
1075,Asemblance,47,4,6.8,5.0,T,Nilo Studios,"['Adventure, 3D, First-Person']","Jan 30, 2018"
1076,Super Toy Cars,47,6,4.6,9.0,E,Eclipse Games,"['Racing, Arcade, Automobile']","Sep 4, 2015"
1077,Dead Rising 4: Frank Rising,47,5,3.5,8.0,M,Capcom Vancouver,"['Action Adventure, Open-World']","Apr 4, 2017"
1078,Monster Jam Steel Titans,47,10,4.0,7.0,E,Rainbow Studios,"['Racing, Arcade, Automobile']","Jun 25, 2019"
1079,Headspun,47,5,,,M,Superstring,"['Adventure, General']","Aug 28, 2019"
1080,Transformers: Rise of the Dark Spark,47,7,5.0,53.0,T,Edge of Reality,"['Action Adventure, Sci-Fi, General']","Jun 24, 2014"
1081,The Amazing Spider-Man 2,46,12,4.7,62.0,T,Beenox,"['Action, Action Adventure, General, General, Open-World']","Apr 29, 2014"
1082,Raid: World War II,46,7,5.6,8.0,M,Starbreeze,"['Action Adventure, General']","Oct 10, 2017"
1083,Coffin Dodgers,46,11,3.7,11.0,T,Milky Tea Studios,"['Racing, Arcade, Automobile']","May 6, 2016"
1084,R.B.I. Baseball 15,46,4,4.6,22.0,E,"MLB.com, MLB AM","['Sports, Team, Baseball, Arcade']","Apr 1, 2015"
1085,Mighty Morphin Power Rangers: Mega Battle,46,5,5.7,18.0,E10+,Bandai Namco Games,"[""Action, Beat-'Em-Up, 2D""]","Jan 17, 2017"
1086,Fear Effect Sedna,46,13,3.7,10.0,M,Sushee,"['Role-Playing, General']","Mar 6, 2018"
1087,Verdun,46,10,5.2,26.0,M,"Abstraction Games, M2H, Blackmill Games","['Action, Shooter, First-Person, Tactical, Arcade']","Mar 8, 2017"
1088,Yet Another Zombie Defense HD,45,9,4.0,5.0,M,Awesome Games Studio,"['Strategy, Real-Time, Defense']","Jun 22, 2018"
1089,WWE 2K20,45,20,1.1,105.0,T,Visual Concepts,"['Sports, Individual, Combat, Wrestling']","Oct 22, 2019"
1090,Ethan: Meteor Hunter,44,4,3.3,4.0,E10+,Seaven Studio,"['Action, Platformer, 2D']","Jul 1, 2016"
1091,Infinity Runner,44,8,,,T,Wales Interactive Ltd.,"['Action, General']","Apr 22, 2015"
1092,Crypt of the Serpent King,43,6,5.3,6.0,T,Rendercode Games,"['Action, General']","Dec 21, 2016"
1093,Dead Alliance,43,7,3.4,5.0,M,"IllFonic, Maximum Games, Psyop","['Action, General, Shooter, First-Person, Tactical']","Aug 29, 2017"
1094,Funk of Titans,43,22,4.3,39.0,T,A Crowd of Monsters,"['Action, Platformer, 2D']","Jan 9, 2015"
