,title,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,developer,genres,release_date
721,Felix the Reaper,69,10,7.1,17.0,T,Kong Orange,"['Adventure, General']","Oct 17, 2019"
722,WWE 2K17,68,12,4.8,44.0,T,Yuke's,"['Sports, Individual, Combat, Wrestling']","Oct 11, 2016"
723,The Technomancer,68,12,7.1,68.0,M,Spiders,"['Role-Playing, General, Western-Style']","Jun 28, 2016"
724,Zoo Tycoon,68,45,3.1,322.0,E,Frontier Developments,"['Tycoon, Strategy, Management, Tycoon, Business / Tycoon']","Nov 22, 2013"
725,Trials Fusion: Awesome Level Max,68,4,,,E10+,RedLynx,"['Racing, Arcade, Automobile']","Jul 14, 2015"
726,Heart&Slash,68,11,7.4,5.0,E10+,AHEARTFULOFGAMES,"['Action, General']","Jun 24, 2016"
727,Black The Fall,68,9,6.5,10.0,T,Sand Sailor Studio,"['Action, General']","Jul 11, 2017"
728,Remothered: Tormented Fathers,68,7,8.0,34.0,M,Stormind Games,"['Action Adventure, Survival']","Jul 25, 2018"
729,Haimrik,68,4,,,M,Below the Game,"['Action Adventure, General, Linear']","Jun 19, 2018"
730,Valley,68,11,7.7,17.0,T,Blue Isle Studios,"['Action Adventure, Open-World']","Aug 23, 2016"
731,In Between,68,11,7.0,8.0,T,Gentlymad,"['Action, Platformer, 2D']","Jun 8, 2016"
732,Ghostbusters: The Video Game Remastered,68,9,6.2,11.0,T,Saber Interactive,"['Action, General']","Oct 4, 2019"
733,Cubot - The Complexity of Simplicity,68,6,7.0,4.0,E,NicoplvGames,"['Puzzle, General']","Jan 8, 2016"
734,Way of the Passive Fist,68,7,7.7,6.0,T,Household Games Inc.,"[""Action, Beat-'Em-Up, 2D""]","Mar 7, 2018"
735,Dear Esther: Landmark Edition,68,12,4.7,17.0,T,The Chinese Room,"['Adventure, 3D, First-Person']","Sep 20, 2016"
736,The Aquatic Adventure of the Last Human,68,4,6.5,4.0,T,"Digerati Distribution, Digerati","['Action Adventure, General, Open-World']","Jan 19, 2018"
737,Exception,68,4,,,E,Traxmaster Software,"['Action, Platformer, 2D']","Aug 13, 2019"
738,American Fugitive,68,8,7.2,6.0,M,Fallen Tree Games,"['Action Adventure, Sandbox, Open-World']","May 24, 2019"
739,Lost Ember,68,6,6.4,13.0,E10+,Mooneye Studios,"['Action Adventure, Open-World']","Nov 22, 2019"
740,It came from space and ate our brains,68,4,,,E10+,Triangle Studios,"[""Action, General, Shooter, Shoot-'Em-Up, Top-Down""]","Jan 28, 2020"
741,WRC 6: World Rally Championship,68,13,5.2,12.0,E,Kylotonn,"['Racing, Simulation, Automobile']","Oct 7, 2016"
742,Bleeding Edge,68,39,6.3,519.0,T,Ninja Theory,"[""3D, Beat-'Em-Up, Fighting, Action, Shooter, Third-Person, Arcade""]","Mar 24, 2020"
743,TT Isle of Man: Ride On The Edge,68,11,7.9,15.0,E,"Kylotonn, Maximum Games","['Racing, Arcade, Automobile']","Mar 6, 2018"
744,iO,68,8,,,E,Gamious,"['Puzzle, Action']","Feb 14, 2017"
745,Kung Fu Panda: Showdown of Legendary Legends,68,4,4.9,14.0,E10+,"Vicious Cycle, Little Orbit","['Action, Action Adventure, General, Fighting, 2D']","Dec 1, 2015"
746,Doughlings: Invasion,67,5,7.6,10.0,E,Hero Concept,"[""Action, Shooter, Shoot-'Em-Up, Vertical""]","Jul 10, 2019"
747,Baja: Edge of Control HD,67,6,,,E,THQ Nordic,"['Racing, Simulation, Automobile']","Sep 14, 2017"
748,Sniper Ghost Warrior Contracts,67,9,5.8,33.0,M,CI Games,"['Action, Shooter, First-Person, Tactical']","Nov 22, 2019"
749,Phantom Doctrine,67,5,7.4,18.0,M,CreativeForge Games,"['Strategy, Turn-Based, General']","Aug 24, 2018"
750,Assassin's Creed Chronicles: China,67,31,5.8,110.0,T,"Ubisoft, Climax Studios","['Historic, Action Adventure, General, Linear']","Apr 21, 2015"
751,Azkend 2: The World Beneath,67,9,,,E,"10tons Ltd, 10tons","['Puzzle, Matching']","May 3, 2016"
752,Strike Suit Zero: Director's Cut,67,17,5.6,55.0,E10+,Born Ready Games,"['Action, Simulation, Flight, Combat']","Apr 8, 2014"
753,Marvel's Guardians of the Galaxy: The Telltale Series,67,4,7.1,12.0,T,Telltale Games,"['Action, Adventure, General, 3D, Third-Person']","Apr 18, 2017"
754,TurnOn,67,16,7.0,10.0,E,Brainy Studio LLC,"['Action, Platformer, 2D']","Jun 1, 2016"
755,Rad Rodgers,67,8,5.9,8.0,M,Slipgate Studios LLC,"['3D, Action, Platformer, 2D']","Feb 21, 2018"
756,Transference,67,11,5.0,7.0,M,SpectreVision,"['Adventure, 3D, First-Person']","Sep 18, 2018"
757,Lost Grimoires 2: Shard of Mystery,67,6,,,E10+,World-Loom,"['Puzzle, Hidden Object']","Dec 15, 2017"
758,Disneyland Adventures,67,9,5.7,20.0,E10+,Asobo Studio,"['Action Adventure, General']","Oct 31, 2017"
759,Batman: The Telltale Series,67,6,6.7,30.0,M,Telltale Games,"['Action, General, Adventure, Point-and-Click']","Sep 13, 2016"
760,Blair Witch,67,29,6.6,340.0,M,Bloober Team,"['Action Adventure, Survival']","Aug 30, 2019"
761,Schrodinger's Cat and the Raiders of the Lost Quark,67,5,,,E,Italic Pig,"['Action, Platformer, 2D']","May 13, 2015"
762,Dead Island: Definitive Collection,67,10,4.5,34.0,M,Techland,"['Miscellaneous, Compilation']","May 31, 2016"
763,Flying Tigers: Shadows Over China,67,6,,,M,Ace Maddox,"['Simulation, Flight, Combat']","Jan 12, 2018"
764,Gang Beasts,67,6,7.6,10.0,E10+,Boneloaf,"['Miscellaneous, Party / Minigame']","Mar 27, 2019"
765,RAZED,67,6,,,E,Warpfish Games,"['Action, Platformer, 3D']","Sep 14, 2018"
766,Hard Reset Redux,67,15,6.4,16.0,M,Flying Wild Hog,"['Action, Shooter, First-Person, Arcade']","Jun 3, 2016"
767,Beatbuddy: Tale of the Guardians,67,4,,,E,Threaks,"['Action, Rhythm, Music']","Aug 7, 2015"
768,City of Brass,67,13,3.6,8.0,T,Uppercut Games Pty Ltd,"['Action Adventure, General']","May 5, 2018"
769,Dragon Ball: Xenoverse,67,18,7.1,138.0,T,Dimps Corporation,"['Action, Fighting, 3D']","Feb 24, 2015"
770,Minecraft: Story Mode - Episode 8: A Journey's End?,67,4,,,E10+,Telltale Games,"['Action Adventure, Linear, Adventure, Point-and-Click']","Sep 13, 2016"
